Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Luis Severino (10761257),Luis Severino,10761257,P,13400,NYY@DET 06/04/2018 07:10PM ET,NYY,25.86
SP,Johnny Cueto (10761258),Johnny Cueto,10761258,P,11800,ARI@SF 06/04/2018 10:15PM ET,SF,23
SP,Zack Greinke (10761259),Zack Greinke,10761259,P,11800,ARI@SF 06/04/2018 10:15PM ET,ARI,19.47
SP,Robbie Ray (10761260),Robbie Ray,10761260,P,11300,ARI@SF 06/04/2018 10:15PM ET,ARI,17.41
SP,Patrick Corbin (10761261),Patrick Corbin,10761261,P,10900,ARI@SF 06/04/2018 10:15PM ET,ARI,24.68
SP,Zack Godley (10761015),Zack Godley,10761015,P,10200,ARI@SF 06/04/2018 10:15PM ET,ARI,14.47
SP,Julio Teheran (10761016),Julio Teheran,10761016,P,9800,ATL@SD 06/04/2018 10:10PM ET,ATL,13.65
SP,Jakob Junis (10761262),Jakob Junis,10761262,P,9700,KC@LAA 06/04/2018 10:07PM ET,KC,18.05
SP,Madison Bumgarner (10761263),Madison Bumgarner,10761263,P,9600,ARI@SF 06/04/2018 10:15PM ET,SF,0
SP,Masahiro Tanaka (10761264),Masahiro Tanaka,10761264,P,9500,NYY@DET 06/04/2018 07:10PM ET,NYY,16.62
SP,Jaime Barria (10761265),Jaime Barria,10761265,P,9300,KC@LAA 06/04/2018 10:07PM ET,LAA,16.74
SP,Tyler Skaggs (10761266),Tyler Skaggs,10761266,P,9200,KC@LAA 06/04/2018 10:07PM ET,LAA,17.02
RP,Domingo German (10761017),Domingo German,10761017,P,8700,NYY@DET 06/04/2018 07:10PM ET,NYY,9.98
SP,Sean Newcomb (10761267),Sean Newcomb,10761267,P,8500,ATL@SD 06/04/2018 10:10PM ET,ATL,19.04
SP,Jordan Montgomery (10761268),Jordan Montgomery,10761268,P,8500,NYY@DET 06/04/2018 07:10PM ET,NYY,11.88
SP,Mike Foltynewicz (10761269),Mike Foltynewicz,10761269,P,8400,ATL@SD 06/04/2018 10:10PM ET,ATL,21.47
SP,Luiz Gohara (10761270),Luiz Gohara,10761270,P,8300,ATL@SD 06/04/2018 10:10PM ET,ATL,8.39
SP,Nick Tropeano (10761018),Nick Tropeano,10761018,P,8300,KC@LAA 06/04/2018 10:07PM ET,LAA,14.38
SP,Tyson Ross (10761271),Tyson Ross,10761271,P,8200,ATL@SD 06/04/2018 10:10PM ET,SD,15.67
SP,Joey Lucchesi (10761272),Joey Lucchesi,10761272,P,8100,ATL@SD 06/04/2018 10:10PM ET,SD,16.19
SP,Matthew Boyd (10761273),Matthew Boyd,10761273,P,8100,NYY@DET 06/04/2018 07:10PM ET,DET,14.74
SP,Francisco Liriano (10761274),Francisco Liriano,10761274,P,8000,NYY@DET 06/04/2018 07:10PM ET,DET,13.86
SP,CC Sabathia (10761275),CC Sabathia,10761275,P,7900,NYY@DET 06/04/2018 07:10PM ET,NYY,11.64
SP,Garrett Richards (10761276),Garrett Richards,10761276,P,7800,KC@LAA 06/04/2018 10:07PM ET,LAA,16.80
SP,Dinelson Lamet (10761277),Dinelson Lamet,10761277,P,7400,ATL@SD 06/04/2018 10:10PM ET,SD,0
SP,Lucas Sims (10761278),Lucas Sims,10761278,P,7100,ATL@SD 06/04/2018 10:10PM ET,ATL,3.36
SP,Brandon McCarthy (10761279),Brandon McCarthy,10761279,P,7100,ATL@SD 06/04/2018 10:10PM ET,ATL,11.79
SP,Clay Buchholz (10761280),Clay Buchholz,10761280,P,7000,ARI@SF 06/04/2018 10:15PM ET,ARI,19.77
SP,Andrew Heaney (10761281),Andrew Heaney,10761281,P,7000,KC@LAA 06/04/2018 10:07PM ET,LAA,16.61
SP,Andrew Suarez (10761282),Andrew Suarez,10761282,P,6900,ARI@SF 06/04/2018 10:15PM ET,SF,13.98
SP,Taijuan Walker (10761283),Taijuan Walker,10761283,P,6700,ARI@SF 06/04/2018 10:15PM ET,ARI,8.42
SP,Jordan Lyles (10761284),Jordan Lyles,10761284,P,6600,ATL@SD 06/04/2018 10:10PM ET,SD,7.30
SP,Matt Shoemaker (10761285),Matt Shoemaker,10761285,P,6600,KC@LAA 06/04/2018 10:07PM ET,LAA,13.95
SP,Cal Quantrill (10761286),Cal Quantrill,10761286,P,6500,ATL@SD 06/04/2018 10:10PM ET,SD,0
SP,Alex Meyer (10761287),Alex Meyer,10761287,P,6500,KC@LAA 06/04/2018 10:07PM ET,LAA,0
SP,Nate Karns (10761288),Nate Karns,10761288,P,6400,KC@LAA 06/04/2018 10:07PM ET,KC,0
SP,Blaine Hardy (10761289),Blaine Hardy,10761289,P,6300,NYY@DET 06/04/2018 07:10PM ET,DET,8.99
SP,Clayton Richard (10761019),Clayton Richard,10761019,P,6200,ATL@SD 06/04/2018 10:10PM ET,SD,12.55
SP,Eric Lauer (10761290),Eric Lauer,10761290,P,6200,ATL@SD 06/04/2018 10:10PM ET,SD,7.06
SP,Mike Soroka (10761291),Mike Soroka,10761291,P,6100,ATL@SD 06/04/2018 10:10PM ET,ATL,13.33
SP,Michael Fulmer (10761292),Michael Fulmer,10761292,P,6100,NYY@DET 06/04/2018 07:10PM ET,DET,11.75
OF,Mike Trout (10761023),Mike Trout,10761023,OF,6000,KC@LAA 06/04/2018 10:07PM ET,LAA,11.9
SP,Shelby Miller (10761293),Shelby Miller,10761293,P,5900,ARI@SF 06/04/2018 10:15PM ET,ARI,0
OF,Aaron Judge (10761024),Aaron Judge,10761024,OF,5800,NYY@DET 06/04/2018 07:10PM ET,NYY,10.78
SP,Sonny Gray (10761294),Sonny Gray,10761294,P,5800,NYY@DET 06/04/2018 07:10PM ET,NYY,10.68
SP,Chris Stratton (10761295),Chris Stratton,10761295,P,5700,ARI@SF 06/04/2018 10:15PM ET,SF,13.67
SP,Derek Holland (10761020),Derek Holland,10761020,P,5600,ARI@SF 06/04/2018 10:15PM ET,SF,11.68
SP,A.J. Cole (10761296),A.J. Cole,10761296,P,5600,NYY@DET 06/04/2018 07:10PM ET,NYY,4.76
SP,Ty Blach (10761297),Ty Blach,10761297,P,5500,ARI@SF 06/04/2018 10:15PM ET,SF,5.65
1B,Freddie Freeman (10761025),Freddie Freeman,10761025,1B,5500,ATL@SD 06/04/2018 10:10PM ET,ATL,9.83
SP,Ian Kennedy (10761298),Ian Kennedy,10761298,P,5500,KC@LAA 06/04/2018 10:07PM ET,KC,9.48
2B,Ozzie Albies (10761026),Ozzie Albies,10761026,2B,5400,ATL@SD 06/04/2018 10:10PM ET,ATL,9.75
SP,Ryan Carpenter (10761299),Ryan Carpenter,10761299,P,5400,NYY@DET 06/04/2018 07:10PM ET,DET,2.82
SP,Jeff Samardzija (10761303),Jeff Samardzija,10761303,P,5200,ARI@SF 06/04/2018 10:15PM ET,SF,5.96
SP,Scott Kazmir (10761300),Scott Kazmir,10761300,P,5200,ATL@SD 06/04/2018 10:10PM ET,ATL,0
SP,Anibal Sanchez (10761301),Anibal Sanchez,10761301,P,5200,ATL@SD 06/04/2018 10:10PM ET,ATL,14.57
SP,Ricky Nolasco (10761302),Ricky Nolasco,10761302,P,5200,KC@LAA 06/04/2018 10:07PM ET,KC,0
RP,Matt Koch (10761304),Matt Koch,10761304,P,5100,ARI@SF 06/04/2018 10:15PM ET,ARI,11.50
OF,Giancarlo Stanton (10761027),Giancarlo Stanton,10761027,OF,5100,NYY@DET 06/04/2018 07:10PM ET,NYY,8.49
SP,Chance Adams (10761305),Chance Adams,10761305,P,5100,NYY@DET 06/04/2018 07:10PM ET,NYY,0
SP,Phil Hughes (10761306),Phil Hughes,10761306,P,5000,ATL@SD 06/04/2018 10:10PM ET,SD,1.82
OF,Shohei Ohtani (10761028),Shohei Ohtani,10761028,OF,5000,KC@LAA 06/04/2018 10:07PM ET,LAA,4.15
RP,JC Ramirez (10761307),JC Ramirez,10761307,P,5000,KC@LAA 06/04/2018 10:07PM ET,LAA,0.3
SP,Mike Fiers (10761021),Mike Fiers,10761021,P,5000,NYY@DET 06/04/2018 07:10PM ET,DET,11.2
SP,Daniel Norris (10761308),Daniel Norris,10761308,P,5000,NYY@DET 06/04/2018 07:10PM ET,DET,6.98
SP,Kolby Allard (10761309),Kolby Allard,10761309,P,4900,ATL@SD 06/04/2018 10:10PM ET,ATL,0
RP,Matt Strahm (10761310),Matt Strahm,10761310,P,4900,ATL@SD 06/04/2018 10:10PM ET,SD,2.91
2B,Gleyber Torres (10761029),Gleyber Torres,10761029,2B,4900,NYY@DET 06/04/2018 07:10PM ET,NYY,8.94
RP,Luis Cessa (10761311),Luis Cessa,10761311,P,4900,NYY@DET 06/04/2018 07:10PM ET,NYY,4.2
1B,Paul Goldschmidt (10761030),Paul Goldschmidt,10761030,1B,4800,ARI@SF 06/04/2018 10:15PM ET,ARI,7.12
SP,Rubby De La Rosa (10761312),Rubby De La Rosa,10761312,P,4800,ARI@SF 06/04/2018 10:15PM ET,ARI,0
SP,Scott Barlow (10761313),Scott Barlow,10761313,P,4800,KC@LAA 06/04/2018 10:07PM ET,KC,9.05
SP,Eric Skoglund (10761314),Eric Skoglund,10761314,P,4800,KC@LAA 06/04/2018 10:07PM ET,KC,8.37
SP,Danny Duffy (10761022),Danny Duffy,10761022,P,4700,KC@LAA 06/04/2018 10:07PM ET,KC,9.81
OF,Brett Gardner (10761031),Brett Gardner,10761031,OF,4700,NYY@DET 06/04/2018 07:10PM ET,NYY,8.56
OF,A.J. Pollock (10761033),A.J. Pollock,10761033,OF,4600,ARI@SF 06/04/2018 10:15PM ET,ARI,10.72
SP,Taylor Clarke (10761315),Taylor Clarke,10761315,P,4600,ARI@SF 06/04/2018 10:15PM ET,ARI,0
3B,Christian Villanueva (10761034),Christian Villanueva,10761034,3B,4600,ATL@SD 06/04/2018 10:10PM ET,SD,7.92
SP,Jason Hammel (10761316),Jason Hammel,10761316,P,4600,KC@LAA 06/04/2018 10:07PM ET,KC,9.62
SP,Josh Staumont (10761317),Josh Staumont,10761317,P,4600,KC@LAA 06/04/2018 10:07PM ET,KC,0
SP,Brad Keller (10761318),Brad Keller,10761318,P,4600,KC@LAA 06/04/2018 10:07PM ET,KC,2.92
C,Gary Sanchez (10761032),Gary Sanchez,10761032,C,4600,NYY@DET 06/04/2018 07:10PM ET,NYY,8.15
SP,Justus Sheffield (10761319),Justus Sheffield,10761319,P,4600,NYY@DET 06/04/2018 07:10PM ET,NYY,0
1B,Brandon Belt (10761035),Brandon Belt,10761035,1B,4500,ARI@SF 06/04/2018 10:15PM ET,SF,9.08
SP,Joan Gregorio (10761320),Joan Gregorio,10761320,P,4500,ARI@SF 06/04/2018 10:15PM ET,SF,0
OF,Nick Markakis (10761036),Nick Markakis,10761036,OF,4500,ATL@SD 06/04/2018 10:10PM ET,ATL,8.86
SP,John Lamb (10761321),John Lamb,10761321,P,4500,KC@LAA 06/04/2018 10:07PM ET,LAA,0
3B,Jake Lamb (10761041),Jake Lamb,10761041,3B,4400,ARI@SF 06/04/2018 10:15PM ET,ARI,7.12
SP,Tyler Beede (10761322),Tyler Beede,10761322,P,4400,ARI@SF 06/04/2018 10:15PM ET,SF,5.22
SP,Aaron Blair (10761323),Aaron Blair,10761323,P,4400,ATL@SD 06/04/2018 10:10PM ET,ATL,0
SP,Kyle Lloyd (10761324),Kyle Lloyd,10761324,P,4400,ATL@SD 06/04/2018 10:10PM ET,SD,0
OF,Nicholas Castellanos (10761040),Nicholas Castellanos,10761040,OF,4400,NYY@DET 06/04/2018 07:10PM ET,DET,8.61
