Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Corey Kluber (10781976),Corey Kluber,10781976,P,12600,CLE@DET 06/09/2018 04:10PM ET,CLE,26.72
SP,Trevor Bauer (10782015),Trevor Bauer,10782015,P,11900,CLE@DET 06/09/2018 04:10PM ET,CLE,24.59
SP,Chris Sale (10781656),Chris Sale,10781656,P,11800,CWS@BOS 06/09/2018 04:05PM ET,BOS,24.93
SP,Blake Snell (10781807),Blake Snell,10781807,P,11800,SEA@TB 06/09/2018 04:10PM ET,TB,22.50
SP,Carlos Martinez (10781888),Carlos Martinez,10781888,P,11000,STL@CIN 06/09/2018 04:10PM ET,STL,17.23
SP,Miles Mikolas (10781873),Miles Mikolas,10781873,P,10900,STL@CIN 06/09/2018 04:10PM ET,STL,18.47
SP,James Paxton (10781782),James Paxton,10781782,P,10400,SEA@TB 06/09/2018 04:10PM ET,SEA,24.16
SP,Jack Flaherty (10781935),Jack Flaherty,10781935,P,10200,STL@CIN 06/09/2018 04:10PM ET,STL,17.67
SP,Michael Wacha (10781912),Michael Wacha,10781912,P,10000,STL@CIN 06/09/2018 04:10PM ET,STL,18.70
SP,Carlos Carrasco (10781958),Carlos Carrasco,10781958,P,10000,CLE@DET 06/09/2018 04:10PM ET,CLE,19.01
SP,Tyson Ross (10782077),Tyson Ross,10782077,P,9600,SD@MIA 06/09/2018 04:10PM ET,SD,15.4
SP,Frankie Montas (10782227),Frankie Montas,10782227,P,9500,KC@OAK 06/09/2018 04:05PM ET,OAK,23.38
SP,Eduardo Rodriguez (10781695),Eduardo Rodriguez,10781695,P,9400,CWS@BOS 06/09/2018 04:05PM ET,BOS,18.94
SP,David Price (10781650),David Price,10781650,P,9200,CWS@BOS 06/09/2018 04:05PM ET,BOS,16.55
SP,Mike Clevinger (10782020),Mike Clevinger,10782020,P,9000,CLE@DET 06/09/2018 04:10PM ET,CLE,17.35
SP,Jakob Junis (10782237),Jakob Junis,10782237,P,9000,KC@OAK 06/09/2018 04:05PM ET,KC,16.92
SP,Danny Salazar (10781983),Danny Salazar,10781983,P,8800,CLE@DET 06/09/2018 04:10PM ET,CLE,0
SP,Luke Weaver (10781907),Luke Weaver,10781907,P,8500,STL@CIN 06/09/2018 04:10PM ET,STL,10.32
SP,Trevor Cahill (10782187),Trevor Cahill,10782187,P,8400,KC@OAK 06/09/2018 04:05PM ET,OAK,18.44
SP,Daniel Mengden (10782265),Daniel Mengden,10782265,P,8400,KC@OAK 06/09/2018 04:05PM ET,OAK,15.33
SP,Joey Lucchesi (10782164),Joey Lucchesi,10782164,P,8100,SD@MIA 06/09/2018 04:10PM ET,SD,16.19
SP,Rick Porcello (10781652),Rick Porcello,10781652,P,8000,CWS@BOS 06/09/2018 04:05PM ET,BOS,18.41
SP,Sean Manaea (10782251),Sean Manaea,10782251,P,7700,KC@OAK 06/09/2018 04:05PM ET,OAK,16.15
SP,Mike Leake (10781760),Mike Leake,10781760,P,7500,SEA@TB 06/09/2018 04:10PM ET,SEA,12.45
SP,Dinelson Lamet (10782156),Dinelson Lamet,10782156,P,7400,SD@MIA 06/09/2018 04:10PM ET,SD,0
SP,Shane Bieber (10782048),Shane Bieber,10782048,P,7300,CLE@DET 06/09/2018 04:10PM ET,CLE,11.35
SP,Michael Fulmer (10782017),Michael Fulmer,10782017,P,7200,CLE@DET 06/09/2018 04:10PM ET,DET,12.75
SP,Nathan Eovaldi (10781778),Nathan Eovaldi,10781778,P,7100,SEA@TB 06/09/2018 04:10PM ET,TB,16.58
SP,Dan Straily (10782090),Dan Straily,10782090,P,7000,SD@MIA 06/09/2018 04:10PM ET,MIA,10.55
SP,Adam Wainwright (10781851),Adam Wainwright,10781851,P,6900,STL@CIN 06/09/2018 04:10PM ET,STL,9.38
SP,Chris Archer (10781759),Chris Archer,10781759,P,6700,SEA@TB 06/09/2018 04:10PM ET,TB,15.44
SP,Alex Reyes (10781932),Alex Reyes,10781932,P,6700,STL@CIN 06/09/2018 04:10PM ET,STL,9.4
SP,Andrew Triggs (10782226),Andrew Triggs,10782226,P,6600,KC@OAK 06/09/2018 04:05PM ET,OAK,12.02
SP,Alec Hansen (10781724),Alec Hansen,10781724,P,6500,CWS@BOS 06/09/2018 04:05PM ET,CWS,0
SP,Felix Hernandez (10781751),Felix Hernandez,10781751,P,6500,SEA@TB 06/09/2018 04:10PM ET,SEA,12.54
RP,Jordan Lyles (10782074),Jordan Lyles,10782074,P,6500,SD@MIA 06/09/2018 04:10PM ET,SD,6.34
SP,Cal Quantrill (10782147),Cal Quantrill,10782147,P,6500,SD@MIA 06/09/2018 04:10PM ET,SD,0
SP,Drew Pomeranz (10781655),Drew Pomeranz,10781655,P,6400,CWS@BOS 06/09/2018 04:05PM ET,BOS,7.81
SP,Reynaldo Lopez (10781717),Reynaldo Lopez,10781717,P,6400,CWS@BOS 06/09/2018 04:05PM ET,CWS,12.70
SP,Clayton Richard (10782059),Clayton Richard,10782059,P,6400,SD@MIA 06/09/2018 04:10PM ET,SD,12.96
RP,Caleb Smith (10782148),Caleb Smith,10782148,P,6400,SD@MIA 06/09/2018 04:10PM ET,MIA,17.26
SP,Nate Karns (10782189),Nate Karns,10782189,P,6400,KC@OAK 06/09/2018 04:05PM ET,KC,0
SP,Wade LeBlanc (10781758),Wade LeBlanc,10781758,P,6300,SEA@TB 06/09/2018 04:10PM ET,SEA,10.14
SP,Michael Kopech (10781735),Michael Kopech,10781735,P,6200,CWS@BOS 06/09/2018 04:05PM ET,CWS,0
SP,Anthony DeSclafani (10781870),Anthony DeSclafani,10781870,P,6200,STL@CIN 06/09/2018 04:10PM ET,CIN,9.05
SP,Luis Castillo (10781915),Luis Castillo,10781915,P,6200,STL@CIN 06/09/2018 04:10PM ET,CIN,11.74
SP,Tyler Mahle (10781929),Tyler Mahle,10781929,P,6200,STL@CIN 06/09/2018 04:10PM ET,CIN,12.75
RP,Adam Plutko (10782003),Adam Plutko,10782003,P,6200,CLE@DET 06/09/2018 04:10PM ET,CLE,16.62
SP,Jharel Cotton (10782236),Jharel Cotton,10782236,P,6200,KC@OAK 06/09/2018 04:05PM ET,OAK,0
SP,Marco Gonzales (10781796),Marco Gonzales,10781796,P,6100,SEA@TB 06/09/2018 04:10PM ET,SEA,15.92
SP,Jose De Leon (10781836),Jose De Leon,10781836,P,6100,SEA@TB 06/09/2018 04:10PM ET,TB,0
SP,Jason Hammel (10782174),Jason Hammel,10782174,P,6100,KC@OAK 06/09/2018 04:05PM ET,KC,9.97
SP,Carlos Rodon (10781709),Carlos Rodon,10781709,P,6000,CWS@BOS 06/09/2018 04:05PM ET,CWS,0
OF,Mookie Betts (10781705),Mookie Betts,10781705,OF,5900,CWS@BOS 06/09/2018 04:05PM ET,BOS,13.69
SP,Hisashi Iwakuma (10781798),Hisashi Iwakuma,10781798,P,5900,SEA@TB 06/09/2018 04:10PM ET,SEA,0
SP,Matt Harvey (10781867),Matt Harvey,10781867,P,5800,STL@CIN 06/09/2018 04:10PM ET,CIN,6.84
SP,Francisco Liriano (10781952),Francisco Liriano,10781952,P,5800,CLE@DET 06/09/2018 04:10PM ET,DET,13.86
SP,Blaine Hardy (10781979),Blaine Hardy,10781979,P,5800,CLE@DET 06/09/2018 04:10PM ET,DET,8.22
SP,Matthew Boyd (10782027),Matthew Boyd,10782027,P,5800,CLE@DET 06/09/2018 04:10PM ET,DET,15.30
SP,Jalen Beeks (10781731),Jalen Beeks,10781731,P,5700,CWS@BOS 06/09/2018 04:05PM ET,BOS,-1
SP,James Shields (10781639),James Shields,10781639,P,5600,CWS@BOS 06/09/2018 04:05PM ET,CWS,10.60
OF,Andrew Benintendi (10781727),Andrew Benintendi,10781727,OF,5600,CWS@BOS 06/09/2018 04:05PM ET,BOS,10.63
SP,Jake Faria (10781808),Jake Faria,10781808,P,5600,SEA@TB 06/09/2018 04:10PM ET,TB,9.56
SP,Ryan Yarbrough (10781837),Ryan Yarbrough,10781837,P,5600,SEA@TB 06/09/2018 04:10PM ET,TB,11.79
SP,Ariel Miranda (10781847),Ariel Miranda,10781847,P,5600,SEA@TB 06/09/2018 04:10PM ET,SEA,13.25
SP,Amir Garrett (10781905),Amir Garrett,10781905,P,5600,STL@CIN 06/09/2018 04:10PM ET,CIN,4.19
SP,Jose Urena (10782097),Jose Urena,10782097,P,5600,SD@MIA 06/09/2018 04:10PM ET,MIA,12.14
SP,Eric Lauer (10782145),Eric Lauer,10782145,P,5600,SD@MIA 06/09/2018 04:10PM ET,SD,7.32
3B,Jose Ramirez (10782022),Jose Ramirez,10782022,3B,5500,CLE@DET 06/09/2018 04:10PM ET,CLE,11
SP,Trevor Richards (10782166),Trevor Richards,10782166,P,5500,SD@MIA 06/09/2018 04:10PM ET,MIA,10.25
OF,J.D. Martinez (10781674),J.D. Martinez,10781674,OF,5400,CWS@BOS 06/09/2018 04:05PM ET,BOS,10.4
SP,Ryan Carpenter (10781980),Ryan Carpenter,10781980,P,5400,CLE@DET 06/09/2018 04:10PM ET,DET,2.82
SP,Steven Wright (10781647),Steven Wright,10781647,P,5300,CWS@BOS 06/09/2018 04:05PM ET,BOS,11.05
SP,Hector Santiago (10781649),Hector Santiago,10781649,P,5300,CWS@BOS 06/09/2018 04:05PM ET,CWS,5.95
SP,Hector Velazquez (10781689),Hector Velazquez,10781689,P,5300,CWS@BOS 06/09/2018 04:05PM ET,BOS,5.85
RP,Austin Gomber (10781934),Austin Gomber,10781934,P,5300,STL@CIN 06/09/2018 04:10PM ET,STL,3.27
RP,Jarlin Garcia (10782113),Jarlin Garcia,10782113,P,5300,SD@MIA 06/09/2018 04:10PM ET,MIA,7.96
RP,Merandy Gonzalez (10782141),Merandy Gonzalez,10782141,P,5300,SD@MIA 06/09/2018 04:10PM ET,MIA,5.04
SP,Miguel Gonzalez (10781642),Miguel Gonzalez,10781642,P,5200,CWS@BOS 06/09/2018 04:05PM ET,CWS,-4.75
SP,Mike Fiers (10781991),Mike Fiers,10781991,P,5200,CLE@DET 06/09/2018 04:10PM ET,DET,11.94
SP,Ricky Nolasco (10782173),Ricky Nolasco,10782173,P,5200,KC@OAK 06/09/2018 04:05PM ET,KC,0
