aardsda01,David,Aardsma,David Aardsma,2004-04-06,2015-08-23,P,San Francisco Giants:SFG-Chicago Cubs:CHC-Chicago White Sox:CHW-Boston Red Sox:BOS-Seattle Mariners:SEA-New York Yankees:NYY-New York Mets:NYM-Atlanta Braves:ATL,1981
aaronha01,Hank,Aaron,Hank Aaron,1954-04-13,1976-10-03,OF-2B-3B-1B,Milwaukee Braves:MLN-Atlanta Braves:ATL-Milwaukee Brewers:MIL,1934
aaronto01,Tommie,Aaron,Tommie Aaron,1962-04-10,1971-09-26,1B-2B-3B-OF,Milwaukee Braves:MLN-Atlanta Braves:ATL,1939
aasedo01,Don,Aase,Don Aase,1977-07-26,1990-10-03,P,Boston Red Sox:BOS-California Angels:CAL-Baltimore Orioles:BAL-New York Mets:NYM-Los Angeles Dodgers:LAD,1954
abadan01,Andy,Abad,Andy Abad,2001-09-10,2006-04-13,1B-OF,Oakland Athletics:OAK-Boston Red Sox:BOS,1972
abadfe01,Fernando,Abad,Fernando Abad,2010-07-28,2016-09-25,P,Houston Astros:HOU-Washington Nationals:WSN-Oakland Athletics:OAK-Minnesota Twins:MIN-Boston Red Sox:BOS,1985
abadijo01,John,Abadie,John Abadie,1875-04-26,1875-06-10,1B,Philadelphia Centennials:CEN-Brooklyn Atlantics:BRA,1850
abbated01,Ed,Abbaticchio,Ed Abbaticchio,1897-09-04,1910-09-15,2B-3B-OF-SS,Philadelphia Phillies:PHI-Boston Braves:BSN-Pittsburgh Pirates:PIT,1877
abbeybe01,Bert,Abbey,Bert Abbey,1892-06-14,1896-09-23,P,Washington Nationals:WSN-Chicago Cubs:CHC-Brooklyn Dodgers:BRO,1869
abbeych01,Charlie,Abbey,Charlie Abbey,1893-08-16,1897-08-19,OF-P,Washington Nationals:WSN,1866
abbotda01,Dan,Abbott,Dan Abbott,1890-04-19,1890-05-23,P,Toledo Maumees:TOL,1862
abbotfr01,Fred,Abbott,Fred Abbott,1903-04-25,1905-09-20,1B-C,Cleveland Indians:CLE-Philadelphia Phillies:PHI,1874
abbotgl01,Glenn,Abbott,Glenn Abbott,1973-07-29,1984-08-08,P,Oakland Athletics:OAK-Seattle Mariners:SEA-Detroit Tigers:DET,1951
abbotje01,Jeff,Abbott,Jeff Abbott,1997-06-10,2001-09-29,OF,Chicago White Sox:CHW-Florida Marlins:FLA,1972
abbotji01,Jim,Abbott,Jim Abbott,1989-04-08,1999-07-21,P,California Angels:CAL-New York Yankees:NYY-Chicago White Sox:CHW-Milwaukee Brewers:MIL,1967
abbotku01,Kurt,Abbott,Kurt Abbott,1993-09-07,2001-04-13,2B-OF-SS-3B-1B,Oakland Athletics:OAK-Florida Marlins:FLA-Colorado Rockies:COL-New York Mets:NYM-Atlanta Braves:ATL,1969
abbotky01,Kyle,Abbott,Kyle Abbott,1991-09-10,1996-08-24,P,California Angels:CAL-Philadelphia Phillies:PHI,1968
abbotod01,Ody,Abbott,Ody Abbott,1910-09-10,1910-10-15,OF,St. Louis Cardinals:STL,1888
abbotpa01,Paul,Abbott,Paul Abbott,1990-08-21,2004-08-07,P,Minnesota Twins:MIN-Cleveland Indians:CLE-Seattle Mariners:SEA-Kansas City Royals:KCR-Tampa Bay Rays:TBR-Philadelphia Phillies:PHI,1967
aberal01,Al,Aber,Al Aber,1950-09-15,1957-09-11,P,Cleveland Indians:CLE-Detroit Tigers:DET-Kansas City Athletics:KCA,1927
abercda01,Frank,Abercrombie,Frank Abercrombie,1871-10-21,1871-10-21,SS,Troy Haymakers:TRO,1850
abercre01,Reggie,Abercrombie,Reggie Abercrombie,2006-04-04,2008-09-28,OF,Florida Marlins:FLA-Houston Astros:HOU,1980
abernbi01,Bill,Abernathie,Bill Abernathie,1952-09-27,1952-09-27,P,Cleveland Indians:CLE,1929
abernbr01,Brent,Abernathy,Brent Abernathy,2001-06-25,2005-09-29,2B-OF,Tampa Bay Rays:TBR-Kansas City Royals:KCR-Minnesota Twins:MIN,1977
abernte01,Ted,Abernathy,Ted Abernathy,1942-09-19,1944-04-29,P,Philadelphia Athletics:PHA,1921
abernte02,Ted,Abernathy,Ted Abernathy,1955-04-13,1972-09-30,P,Washington Senators:WSH-Cleveland Indians:CLE-Chicago Cubs:CHC-Atlanta Braves:ATL-Cincinnati Reds:CIN-St. Louis Cardinals:STL-Kansas City Royals:KCR,1933
abernwo01,Woody,Abernathy,Woody Abernathy,1946-07-28,1947-04-17,P,New York Giants:NYG,1915
aberscl01,Cliff,Aberson,Cliff Aberson,1947-07-18,1949-05-09,OF,Chicago Cubs:CHC,1921
ablesha01,Harry,Ables,Harry Ables,1905-09-04,1911-05-05,P,St. Louis Browns:SLB-Cleveland Indians:CLE-New York Yankees:NYY,1883
abnersh01,Shawn,Abner,Shawn Abner,1987-09-08,1992-10-03,OF,San Diego Padres:SDP-California Angels:CAL-Chicago White Sox:CHW,1966
abramca01,Cal,Abrams,Cal Abrams,1949-04-19,1956-05-09,OF-1B,Brooklyn Dodgers:BRO-Cincinnati Reds:CIN-Pittsburgh Pirates:PIT-Baltimore Orioles:BAL-Chicago White Sox:CHW,1924
abramge01,George,Abrams,George Abrams,1923-04-19,1923-05-04,P,Cincinnati Reds:CIN,1899
abregjo01,Johnny,Abrego,Johnny Abrego,1985-09-04,1985-10-03,P,Chicago Cubs:CHC,1962
abreubo01,Bobby,Abreu,Bobby Abreu,1996-09-01,2014-09-28,OF,Houston Astros:HOU-Philadelphia Phillies:PHI-New York Yankees:NYY-Los Angeles Angels of Anaheim:LAA-Los Angeles Dodgers:LAD-New York Mets:NYM,1974
abreujo01,Joe,Abreu,Joe Abreu,1942-04-23,1942-07-11,2B-3B,Cincinnati Reds:CIN,1913
abreujo02,Jose,Abreu,Jose Abreu,2014-03-31,2016-10-02,1B,Chicago White Sox:CHW,1987
abreuju01,Juan,Abreu,Juan Abreu,2011-08-29,2011-09-27,P,Houston Astros:HOU,1985
abreuto01,Tony,Abreu,Tony Abreu,2007-05-22,2014-07-28,2B-3B-SS,Los Angeles Dodgers:LAD-Arizona Diamondbacks:ARI-Kansas City Royals:KCR-San Francisco Giants:SFG,1984
abreuwi01,Winston,Abreu,Winston Abreu,2006-08-06,2009-07-25,P,Baltimore Orioles:BAL-Washington Nationals:WSN-Tampa Bay Rays:TBR-Cleveland Indians:CLE,1977
abstebi01,Bill,Abstein,Bill Abstein,1906-09-25,1910-06-02,2B-OF-1B,Pittsburgh Pirates:PIT-St. Louis Browns:SLB,1883
accarje01,Jeremy,Accardo,Jeremy Accardo,2005-05-04,2012-09-27,P,San Francisco Giants:SFG-Toronto Blue Jays:TOR-Baltimore Orioles:BAL-Cleveland Indians:CLE-Oakland Athletics:OAK,1981
aceveal01,Alfredo,Aceves,Alfredo Aceves,2008-08-31,2014-06-02,P,New York Yankees:NYY-Boston Red Sox:BOS,1982
acevejo01,Jose,Acevedo,Jose Acevedo,2001-06-19,2005-09-29,P,Cincinnati Reds:CIN-Colorado Rockies:COL,1977
aceveju01,Juan,Acevedo,Juan Acevedo,1995-04-30,2003-08-05,P,Colorado Rockies:COL-New York Mets:NYM-St. Louis Cardinals:STL-Milwaukee Brewers:MIL-Florida Marlins:FLA-Detroit Tigers:DET-New York Yankees:NYY-Toronto Blue Jays:TOR,1970
achteaj01,A. J.,Achter,A. J. Achter,2014-09-03,2016-10-01,P,Minnesota Twins:MIN-Los Angeles Angels of Anaheim:LAA,1988
ackerji01,Jim,Acker,Jim Acker,1983-04-07,1992-06-14,P,Toronto Blue Jays:TOR-Atlanta Braves:ATL-Seattle Mariners:SEA,1958
ackerto01,Tom,Acker,Tom Acker,1956-04-20,1959-09-20,P,Cincinnati Reds:CIN,1930
ackledu01,Dustin,Ackley,Dustin Ackley,2011-06-17,2016-05-29,1B-2B-OF,Seattle Mariners:SEA-New York Yankees:NYY,1988
acklefr01,Fritz,Ackley,Fritz Ackley,1963-09-21,1964-05-09,P,Chicago White Sox:CHW,1937
acostcy01,Cy,Acosta,Cy Acosta,1972-06-04,1975-05-05,P,Chicago White Sox:CHW-Philadelphia Phillies:PHI,1946
acosted01,Ed,Acosta,Ed Acosta,1970-09-07,1972-10-04,P,Pittsburgh Pirates:PIT-San Diego Padres:SDP,1944
acostjo01,Jose,Acosta,Jose Acosta,1920-07-28,1922-05-12,P,Washington Senators:WSH-Chicago White Sox:CHW,1891
acostma01,Manny,Acosta,Manny Acosta,2007-08-12,2012-10-03,P,Atlanta Braves:ATL-New York Mets:NYM,1981
acostme01,Merito,Acosta,Merito Acosta,1913-06-15,1918-09-02,OF,Washington Senators:WSH-Philadelphia Athletics:PHA,1896
acrema01,Mark,Acre,Mark Acre,1994-05-13,1997-05-10,P,Oakland Athletics:OAK,1968
adairje01,Jerry,Adair,Jerry Adair,1958-09-02,1970-05-03,2B-SS-3B-1B,Baltimore Orioles:BAL-Chicago White Sox:CHW-Boston Red Sox:BOS-Kansas City Royals:KCR,1936
