Name,Team,W,L,ERA,G,GS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,Age,IFFB,Balls,Strikes,Pitches,K/9,BB/9,K/BB,AVG,BABIP,FIP,GB/FB,LD%,GB%,FB%,HR/FB,WAR,WPA,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,F-Strike%,SwStr%,K%,BB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
Corey Kluber,Indians,18,4,2.25,29,29,203.2,777,141,56,51,21,36,2,5,265,31,18,940,2005,2945,11.71,1.59,7.36,0.192,0.267,2.5,1.33,22.10%,44.50%,33.40%,13.50%,7.3,4.72,35.60%,63.70%,49.00%,44.90%,82.40%,68.10%,64.40%,15.60%,34.10%,4.60%,38.90%,36.10%,25.10%,24.40%,46.70%,28.90%,2429
Clayton Kershaw,Dodgers,18,4,2.31,27,27,175,679,136,49,45,23,30,0,0,202,29,14,792,1729,2521,10.39,1.54,6.73,0.21,0.267,3.07,1.45,18.90%,47.90%,33.10%,15.90%,4.6,4.18,32.30%,70.60%,51.30%,51.10%,82.40%,72.50%,69.40%,14.10%,29.80%,4.40%,43.30%,34.50%,22.20%,23.50%,49.10%,27.40%,2036
Max Scherzer,Nationals,16,6,2.51,31,31,200.2,780,126,62,56,22,55,2,11,268,32,24,997,2114,3111,12.02,2.47,4.87,0.176,0.245,2.9,0.78,16.90%,36.50%,46.60%,10.80%,6,4.47,35.00%,68.70%,51.20%,51.90%,79.50%,69.70%,64.60%,15.50%,34.40%,7.10%,42.40%,33.00%,24.70%,19.50%,54.00%,26.50%,3137
Stephen Strasburg,Nationals,15,4,2.52,28,28,175.1,701,131,55,49,13,47,5,7,204,28,17,898,1844,2742,10.47,2.41,4.34,0.202,0.274,2.72,1.37,19.00%,46.80%,34.20%,8.70%,5.6,3.43,33.40%,65.40%,49.30%,53.00%,84.40%,73.70%,63.50%,13.00%,29.10%,6.70%,35.00%,38.20%,26.90%,21.40%,51.20%,27.30%,10131
Alex Wood,Dodgers,16,3,2.72,27,25,152.1,614,123,50,46,15,38,6,6,151,26,10,736,1524,2260,8.92,2.25,3.97,0.216,0.267,3.32,1.97,20.10%,53.00%,26.90%,13.50%,3.4,2.3,36.10%,63.80%,48.00%,61.20%,86.20%,75.50%,66.90%,11.80%,24.60%,6.20%,38.40%,36.50%,25.10%,20.30%,52.00%,27.70%,13781
Chase Anderson,Brewers,12,4,2.74,25,25,141.1,569,113,47,43,14,41,1,7,133,29,16,818,1436,2254,8.47,2.61,3.24,0.217,0.265,3.58,0.91,18.00%,39.20%,42.90%,8.60%,3.3,2.7,30.30%,66.80%,46.60%,65.80%,85.00%,78.10%,61.20%,10.20%,23.40%,7.20%,39.40%,34.50%,26.00%,19.90%,48.50%,31.70%,6895
Robbie Ray,Diamondbacks,15,5,2.89,28,28,162,665,116,57,52,23,71,3,5,218,25,12,1010,1705,2715,12.11,3.94,3.07,0.197,0.267,3.72,1,19.50%,40.30%,40.30%,15.60%,3.2,2.04,29.70%,63.00%,44.20%,46.10%,81.00%,67.90%,59.90%,14.20%,32.80%,10.70%,38.00%,34.50%,27.50%,16.40%,43.10%,40.40%,11486
Chris Sale,Red Sox,17,8,2.9,32,32,214.1,851,165,73,69,24,43,0,8,308,28,21,1085,2343,3428,12.93,1.81,7.16,0.206,0.301,2.45,0.94,20.40%,38.70%,40.90%,12.10%,7.7,3.73,36.20%,65.60%,49.90%,55.70%,79.20%,70.10%,66.80%,14.90%,36.20%,5.10%,38.40%,35.20%,26.40%,18.50%,51.80%,29.70%,10603
Dallas Keuchel,Astros,14,5,2.9,23,23,145.2,584,116,50,47,15,47,0,2,125,29,2,839,1355,2194,7.72,2.9,2.66,0.217,0.256,3.79,3.77,15.50%,66.80%,17.70%,21.10%,2.5,2.63,32.60%,66.10%,45.00%,63.60%,86.00%,75.80%,60.50%,10.90%,21.40%,8.10%,45.00%,35.20%,19.80%,25.40%,49.90%,24.70%,9434
Gio Gonzalez,Nationals,15,9,2.96,32,32,201,827,158,69,66,21,79,5,7,188,31,17,1340,2024,3364,8.42,3.54,2.38,0.213,0.258,3.93,1.31,19.10%,45.80%,35.10%,11.10%,3.3,3.56,28.10%,61.20%,41.80%,68.40%,85.90%,79.00%,55.30%,8.80%,22.70%,9.60%,42.70%,32.90%,24.40%,21.70%,49.00%,29.30%,7448
